country,cases,death,recovered,active,population
Afghanistan,40937,1518,34150,5269,38041754
Albania,19445,480,10705,8260,2854191
Algeria,56419,1922,39273,15224,43053054
Andorra,4325,72,2957,1296,77142
Angola,9644,270,3530,5844,31825295
Antigua and Barbuda,124,3,108,13,97118
Argentina,1102301,29301,909586,163414,44938712
Armenia,78810,1196,51162,26452,2957731
Australia,27539,905,25212,1422,25364307
Austria,83267,992,59036,23239,8877067
Azerbaijan,50486,679,41410,8397,10023318
Bahamas,6410,132,3948,2330,389482
Bahrain,80533,316,77132,3085,1641172
Bangladesh,400251,5818,316600,77833,163046161
Barbados,233,7,210,16,287025
Belarus,93707,961,83748,8998,9466856
Belgium,333718,10899,23087,299732,11484055
Belize,3145,50,1961,1134,390353
Benin,2557,41,2330,186,11801151
Bhutan,342,0,312,30,763092
Bolivia,140952,8658,109228,23066,11513100
Bosnia and Herzegovina,41596,1104,26542,13950,3301000
Botswana,6283,21,4438,1824,2303697
Brazil,5409854,157397,4526393,726064,211049527
Brunei,148,3,143,2,433285
Bulgaria,40132,1136,18650,20346,6975761
Burkina Faso,2459,67,2164,228,20321378
Myanmar,46200,1122,26007,19071,54045420
Burundi,557,1,511,45,11530580
Cabo Verde,8423,94,7455,874,549935
Cambodia,288,0,283,5,16486542
Cameroon,21793,426,20117,1250,25876380
Canada,222973,10026,187100,NA,37589262
Central African Republic,4863,62,1924,2877,4745185
Chad,1441,96,1277,68,15946876
Chile,503598,14003,479877,NA,18952038
China,91175,4739,86018,418,1397715000
Colombia,1025052,30348,924044,70660,50339443
Comoros,517,7,494,16,850886
"Congo, Rep.",5253,92,3887,1274,5380508
"Congo, Dem. Rep.",11174,305,10468,401,86790567
Costa Rica,104460,1312,63709,39439,5047561
Cote d'Ivoire,20486,122,20212,152,25716544
Croatia,37208,452,25837,10919,4067500
Cuba,6595,128,6029,438,11333483
Cyprus,3636,25,1882,1729,1198575
Czech Republic,268370,2365,103220,162785,10669709
Denmark,41919,708,32731,8480,5818553
Djibouti,5541,61,5409,71,973560
Dominica,38,0,29,9,71808
Dominican Republic,124843,2225,103081,19537,10738958
Ecuador,162178,12573,141759,7846,17373662
Egypt,106707,6211,98981,1515,100388073
