country,city_actual,rating_count,center1distance,center1label,center2distance,center2label,neighbourhood,price,price_night,city,stars,ratingta,ratingta_count,accommodation_type,ratings,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,nnights,distance,distance_alter
Italy,Milan,145,2.1 miles,City centre,3.8 miles,Milan Romolo Station,Bovisa,80,price for 1 night,Milan,4,3.5,314,Hotel,3.7,1,9816,1,15-50% offer,2017,11,0,0,1,2.1,3.8
Italy,Milan,89,1.7 miles,City centre,3.7 miles,Milan Romolo Station,Bovisa,100,price for 1 night,Milan,3,3.5,233,Hotel,3.7,1,9820,1,15-50% offer,2017,11,0,0,1,1.7,3.7
Italy,Milan,136,1.9 miles,City centre,3.8 miles,Milan Romolo Station,Bovisa,65,price for 1 night,Milan,4,3.5,903,Hotel,3.9,0,9821,1,15-50% offer,2017,11,0,0,1,1.9,3.8
Italy,Milan,67,2.4 miles,City centre,4.1 miles,Milan Romolo Station,Bovisa,93,price for 1 night,Milan,3,2.5,142,Hotel,3.2,0,9822,0,0% no offer,2017,11,0,0,1,2.4,4.1
Italy,Milan,164,2.8 miles,City centre,4.7 miles,Milan Romolo Station,Bovisa,104,price for 1 night,Milan,4,4,783,Hotel,4.1,0,9823,1,15-50% offer,2017,11,0,0,1,2.8,4.7
Italy,Milan,246,0.9 miles,City centre,2.7 miles,Milan Romolo Station,Chinatown,103,price for 1 night,Milan,4,4,568,Hotel,4,1,9869,1,15-50% offer,2017,11,0,0,1,0.9,2.7
Italy,Milan,53,1.8 miles,City centre,3.4 miles,Milan Romolo Station,Citta Studi,124,price for 1 night,Milan,4,3.5,156,Hotel,3.9,1,9874,1,15-50% offer,2017,11,0,0,1,1.8,3.4
Italy,Milan,181,1.9 miles,City centre,3.8 miles,Milan Romolo Station,Citta Studi,73,price for 1 night,Milan,3,4,315,Hotel,3.9,1,9875,1,50%-75% offer,2017,11,0,0,1,1.9,3.8
Italy,Milan,209,1.9 miles,City centre,3.8 miles,Milan Romolo Station,Citta Studi,75,price for 1 night,Milan,3,4,445,Hotel,3.7,1,9876,1,15-50% offer,2017,11,0,0,1,1.9,3.8
Italy,Milan,103,2.5 miles,City centre,4.3 miles,Milan Romolo Station,Citta Studi,52,price for 1 night,Milan,3,2.5,137,Hotel,3.2,1,9881,1,1-15% offer,2017,11,0,0,1,2.5,4.3
Italy,Milan,49,2.6 miles,City centre,4.4 miles,Milan Romolo Station,Citta Studi,118,price for 1 night,Milan,3,3.5,239,Hotel,3.5,1,9885,1,75%+ offer,2017,11,0,0,1,2.6,4.4
Italy,Milan,154,2.9 miles,City centre,4.8 miles,Milan Romolo Station,Citta Studi,158,price for 1 night,Milan,4,4.5,575,Hotel,4.4,0,9890,1,15-50% offer,2017,11,0,0,1,2.9,4.8
